region;total;dispensary;health_centers;hospital
Tanzania;10107;7965;1466;676
Tanzania Bara;9772;7680;1430;662
Dodoma;497;402;69;26
Arusha;429;310;76;43
Kilimanjaro;461;362;66;33
Tanga;498;412;64;22
Morogoro;532;415;73;44
Pwani;444;365;57;22
Dar es Salaam;684;454;154;76
Lindi;303;253;34;16
Mtwara;312;257;38;17
Ruvuma;382;307;50;25
Iringa;349;283;47;19
Mbeya;443;336;73;34
Singida;282;229;30;23
Tabora;401;337;40;24
Rukwa;276;228;37;11
Kigoma;312;246;46;20
Shinyanga;311;250;46;15
Kagera;381;301;59;21
Mwanza;520;376;103;41
Mara;368;280;55;33
Manyara;290;236;38;16
Njombe;337;271;44;22
Katavi;134;100;25;9
Simiyu;289;243;28;18
Geita;290;227;43;20
Songwe;247;200;35;12
Tanzania Zanzibar;335;285;36;14
Kaskazini Unguja;47;41;5;1
Kusini Unguja;57;48;8;1
Mjini Magharibi;135;119;9;7
Kaskazini Pemba;47;39;6;2
Kusini Pemba;49;38;8;3
